compound_id,smiles,patent_id,assignee,publication_date,year,series,assay_id,standard_relation,pIC50,project_note,source_row,raw_smiles,standardized_smiles,status,duplicate_group_size,source_rows,patent_ids,assignees,molecular_weight,clogp,tpsa,hbd,hba,rotatable_bonds,heavy_atoms,rings,pIC50_median,n_measurements,murcko_scaffold,scaffold_id,cluster_id
DPC0070,CNc1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.93,primary measurement,70,CNc1ccc(C)cc1,CNc1ccc(C)cc1,accepted,1,70,DEMO-102-A1,Helixbridge Pharma,121.183,2.037,12.03,1,1,1,9,1,5.93,1.0,c1ccccc1,S001,C008
DPC0071,Cc1ccc(N(C)C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,6.03,primary measurement,71,Cc1ccc(N(C)C)cc1,Cc1ccc(N(C)C)cc1,accepted,1,71,DEMO-102-A1,Helixbridge Pharma,135.21,2.061,3.24,0,1,1,10,1,6.03,1.0,c1ccccc1,S001,C007
DPC0072,Cc1ccc(C#N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,6.04,primary measurement,72,Cc1ccc(C#N)cc1,Cc1ccc(C#N)cc1,accepted,1,72,DEMO-102-A1,Helixbridge Pharma,117.151,1.867,23.79,0,1,0,9,1,6.04,1.0,c1ccccc1,S001,C009
DPC0073,Cc1ccc(C(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,5.86,primary measurement,73,Cc1ccc(C(F)(F)F)cc1,Cc1ccc(C(F)(F)F)cc1,accepted,1,73,DEMO-102-A1,Helixbridge Pharma,160.138,3.014,0.0,0,0,0,11,1,5.86,1.0,c1ccccc1,S001,C006
DPC0074,Cc1ccc(C(N)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,>,5.67,primary measurement,74,Cc1ccc(C(N)=O)cc1,Cc1ccc(C(N)=O)cc1,accepted,1,74,DEMO-102-A1,Helixbridge Pharma,135.166,1.094,43.09,1,1,1,10,1,,,c1ccccc1,S001,C003
DPC0075,CNC(=O)c1ccc(C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.67,primary measurement,75,CNC(=O)c1ccc(C)cc1,CNC(=O)c1ccc(C)cc1,accepted,1,75,DEMO-102-A1,Helixbridge Pharma,149.193,1.355,29.1,1,1,1,11,1,5.67,1.0,c1ccccc1,S001,C010
DPC0076,Cc1ccc(S(N)(=O)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,5.57,primary measurement,76,Cc1ccc(S(N)(=O)=O)cc1,Cc1ccc(S(N)(=O)=O)cc1,accepted,1,76,DEMO-102-A1,Helixbridge Pharma,171.221,0.642,60.16,1,2,1,11,1,5.57,1.0,c1ccccc1,S001,C014
DPC0077,Cc1ccc(OC(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,5.69,primary measurement,77,Cc1ccc(OC(F)(F)F)cc1,Cc1ccc(OC(F)(F)F)cc1,accepted,1,77,DEMO-102-A1,Helixbridge Pharma,176.137,2.894,9.23,0,1,1,12,1,5.69,1.0,c1ccccc1,S001,C013
DPC0078,Cc1ccc(N2CCOCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,6.03,primary measurement,78,Cc1ccc(N2CCOCC2)cc1,Cc1ccc(N2CCOCC2)cc1,accepted,1,78,DEMO-102-A1,Helixbridge Pharma,177.247,1.832,12.47,0,2,1,13,2,6.03,1.0,c1ccc(N2CCOCC2)cc1,S002,C011
DPC0079,Cc1ccc(C2CC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.83,primary measurement,79,Cc1ccc(C2CC2)cc1,Cc1ccc(C2CC2)cc1,accepted,1,79,DEMO-102-A1,Helixbridge Pharma,132.206,2.872,0.0,0,0,1,10,2,5.83,1.0,c1ccc(C2CC2)cc1,S003,C012
DPC0080,Cc1ccc(C2CCCCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.99,primary measurement,80,Cc1ccc(C2CCCCC2)cc1,Cc1ccc(C2CCCCC2)cc1,accepted,1,80,DEMO-102-A1,Helixbridge Pharma,174.287,4.043,0.0,0,0,1,13,2,5.99,1.0,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0081,Cc1ccc(O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,5.73,primary measurement,81,Cc1ccc(O)cc1,Cc1ccc(O)cc1,accepted,1,81,DEMO-102-A1,Helixbridge Pharma,108.14,1.701,20.23,1,1,0,8,1,5.73,1.0,c1ccccc1,S001,C017
DPC0082,Cc1ccc(C(=O)O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.69,primary measurement,82,Cc1ccc(C(=O)O)cc1,Cc1ccc(C(=O)O)cc1,accepted,1,82,DEMO-102-A1,Helixbridge Pharma,136.15,1.693,37.3,1,1,1,10,1,5.69,1.0,c1ccccc1,S001,C032
DPC0083,CCc1ccc(CC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,5.66,primary measurement,83,CCc1ccc(CC)cc1,CCc1ccc(CC)cc1,accepted,1,83,DEMO-102-A1,Helixbridge Pharma,134.222,2.811,0.0,0,0,2,10,1,5.66,1.0,c1ccccc1,S001,C005
DPC0084,CCCc1ccc(CC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,5.59,primary measurement,84,CCCc1ccc(CC)cc1,CCCc1ccc(CC)cc1,accepted,1,84,DEMO-102-A1,Helixbridge Pharma,148.249,3.202,0.0,0,0,3,11,1,5.59,1.0,c1ccccc1,S001,C002
DPC0085,CCc1ccc(OC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,5.78,primary measurement,85,CCc1ccc(OC)cc1,CCc1ccc(OC)cc1,accepted,1,85,DEMO-102-A1,Helixbridge Pharma,136.194,2.258,9.23,0,1,2,10,1,5.78,1.0,c1ccccc1,S001,C004
DPC0086,CCOc1ccc(CC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,=,5.96,primary measurement,86,CCOc1ccc(CC)cc1,CCOc1ccc(CC)cc1,accepted,1,86,DEMO-102-A1,Helixbridge Pharma,150.221,2.648,9.23,0,1,3,11,1,5.96,1.0,c1ccccc1,S001,C001
DPC0087,CCc1ccc(N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.98,primary measurement,87,CCc1ccc(N)cc1,CCc1ccc(N)cc1,accepted,1,87,DEMO-102-A1,Helixbridge Pharma,121.183,1.831,26.02,1,1,1,9,1,5.98,1.0,c1ccccc1,S001,C005
DPC0088,CCc1ccc(NC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,6.11,primary measurement,88,CCc1ccc(NC)cc1,CCc1ccc(NC)cc1,accepted,1,88,DEMO-102-A1,Helixbridge Pharma,135.21,2.291,12.03,1,1,2,10,1,6.11,1.0,c1ccccc1,S001,C005
DPC0089,CCc1ccc(N(C)C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,6.16,primary measurement,89,CCc1ccc(N(C)C)cc1,CCc1ccc(N(C)C)cc1,accepted,1,89,DEMO-102-A1,Helixbridge Pharma,149.237,2.315,3.24,0,1,2,11,1,6.16,1.0,c1ccccc1,S001,C005
DPC0090,CCc1ccc(C#N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,6.12,primary measurement,90,CCc1ccc(C#N)cc1,CCc1ccc(C#N)cc1,accepted,1,90,DEMO-102-A1,Helixbridge Pharma,131.178,2.121,23.79,0,1,1,10,1,6.12,1.0,c1ccccc1,S001,C005
DPC0091,CCc1ccc(C(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.92,primary measurement,91,CCc1ccc(C(F)(F)F)cc1,CCc1ccc(C(F)(F)F)cc1,accepted,1,91,DEMO-102-A1,Helixbridge Pharma,174.165,3.268,0.0,0,0,1,12,1,5.92,1.0,c1ccccc1,S001,C005
DPC0092,CCc1ccc(C(N)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,<,5.76,primary measurement,92,CCc1ccc(C(N)=O)cc1,CCc1ccc(C(N)=O)cc1,accepted,1,92,DEMO-102-A1,Helixbridge Pharma,149.193,1.348,43.09,1,1,2,11,1,,,c1ccccc1,S001,C003
DPC0093,CCc1ccc(C(=O)NC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,5.81,primary measurement,93,CCc1ccc(C(=O)NC)cc1,CCc1ccc(C(=O)NC)cc1,accepted,1,93,DEMO-102-A1,Helixbridge Pharma,163.22,1.609,29.1,1,1,2,12,1,5.81,1.0,c1ccccc1,S001,C010
DPC0094,CCc1ccc(S(N)(=O)=O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,5.76,primary measurement,94,CCc1ccc(S(N)(=O)=O)cc1,CCc1ccc(S(N)(=O)=O)cc1,accepted,1,94,DEMO-102-A1,Helixbridge Pharma,185.248,0.896,60.16,1,2,2,12,1,5.76,1.0,c1ccccc1,S001,C014
DPC0095,CCc1ccc(OC(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,5.88,primary measurement,95,CCc1ccc(OC(F)(F)F)cc1,CCc1ccc(OC(F)(F)F)cc1,accepted,1,95,DEMO-102-A1,Helixbridge Pharma,190.164,3.148,9.23,0,1,2,13,1,5.88,1.0,c1ccccc1,S001,C013
DPC0096,CCc1ccc(N2CCOCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,6.18,primary measurement,96,CCc1ccc(N2CCOCC2)cc1,CCc1ccc(N2CCOCC2)cc1,accepted,1,96,DEMO-102-A1,Helixbridge Pharma,191.274,2.086,12.47,0,2,2,14,2,6.18,1.0,c1ccc(N2CCOCC2)cc1,S002,C011
DPC0097,CCc1ccc(C2CC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-02,=,5.9,primary measurement,97,CCc1ccc(C2CC2)cc1,CCc1ccc(C2CC2)cc1,accepted,1,97,DEMO-102-A1,Helixbridge Pharma,146.233,3.126,0.0,0,0,2,11,2,5.9,1.0,c1ccc(C2CC2)cc1,S003,C005
DPC0098,CCc1ccc(C2CCCCC2)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-03,=,5.96,primary measurement,98,CCc1ccc(C2CCCCC2)cc1,CCc1ccc(C2CCCCC2)cc1,accepted,1,98,DEMO-102-A1,Helixbridge Pharma,188.314,4.297,0.0,0,0,2,14,2,5.96,1.0,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0099,CCc1ccc(O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-04,=,5.66,primary measurement,99,CCc1ccc(O)cc1,CCc1ccc(O)cc1,accepted,1,99,DEMO-102-A1,Helixbridge Pharma,122.167,1.955,20.23,1,1,1,9,1,5.66,1.0,c1ccccc1,S001,C005
DPC0100,CCc1ccc(C(=O)O)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-05,=,5.61,primary measurement,100,CCc1ccc(C(=O)O)cc1,CCc1ccc(C(=O)O)cc1,accepted,1,100,DEMO-102-A1,Helixbridge Pharma,150.177,1.947,37.3,1,1,2,11,1,5.61,1.0,c1ccccc1,S001,C005
DPC0101,CCCc1ccc(CCC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-06,=,5.44,primary measurement,101,CCCc1ccc(CCC)cc1,CCCc1ccc(CCC)cc1,accepted,1,101,DEMO-102-A1,Helixbridge Pharma,162.276,3.592,0.0,0,0,4,12,1,5.44,1.0,c1ccccc1,S001,C002
DPC0102,CCCc1ccc(OC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-07,=,5.62,primary measurement,102,CCCc1ccc(OC)cc1,CCCc1ccc(OC)cc1,accepted,1,102,DEMO-102-A1,Helixbridge Pharma,150.221,2.648,9.23,0,1,3,11,1,5.62,1.0,c1ccccc1,S001,C002
DPC0103,CCCc1ccc(OCC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-08,=,5.81,primary measurement,103,CCCc1ccc(OCC)cc1,CCCc1ccc(OCC)cc1,accepted,1,103,DEMO-102-A1,Helixbridge Pharma,164.248,3.038,9.23,0,1,4,12,1,5.81,1.0,c1ccccc1,S001,C001
DPC0104,CCCc1ccc(N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-09,=,5.85,primary measurement,104,CCCc1ccc(N)cc1,CCCc1ccc(N)cc1,accepted,1,104,DEMO-102-A1,Helixbridge Pharma,135.21,2.221,26.02,1,1,2,10,1,5.85,1.0,c1ccccc1,S001,C002
DPC0105,CCCc1ccc(NC)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-10,=,6.03,primary measurement,105,CCCc1ccc(NC)cc1,CCCc1ccc(NC)cc1,accepted,1,105,DEMO-102-A1,Helixbridge Pharma,149.237,2.681,12.03,1,1,3,11,1,6.03,1.0,c1ccccc1,S001,C002
DPC0106,CCCc1ccc(N(C)C)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-11,=,6.12,primary measurement,106,CCCc1ccc(N(C)C)cc1,CCCc1ccc(N(C)C)cc1,accepted,1,106,DEMO-102-A1,Helixbridge Pharma,163.264,2.705,3.24,0,1,3,12,1,6.12,1.0,c1ccccc1,S001,C002
DPC0107,CCCc1ccc(C#N)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-12,=,6.12,primary measurement,107,CCCc1ccc(C#N)cc1,CCCc1ccc(C#N)cc1,accepted,1,107,DEMO-102-A1,Helixbridge Pharma,145.205,2.511,23.79,0,1,2,11,1,6.12,1.0,c1ccccc1,S001,C002
DPC0108,CCCc1ccc(C(F)(F)F)cc1,DEMO-102-A1,Helixbridge Pharma,2022-10-06,2022,phenyl,ASSAY-02-01,=,5.95,primary measurement,108,CCCc1ccc(C(F)(F)F)cc1,CCCc1ccc(C(F)(F)F)cc1,accepted,1,108,DEMO-102-A1,Helixbridge Pharma,188.192,3.658,0.0,0,0,2,13,1,5.95,1.0,c1ccccc1,S001,C002
DPC0109,CCCc1ccc(C(N)=O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-02,=,5.94,primary measurement,109,CCCc1ccc(C(N)=O)cc1,CCCc1ccc(C(N)=O)cc1,accepted,2,109 | 223,DEMO-102-A1 | DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,163.22,1.738,43.09,1,1,3,12,1,5.82,2.0,c1ccccc1,S001,C002
DPC0110,CCCc1ccc(C(=O)NC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-03,=,5.98,primary measurement,110,CCCc1ccc(C(=O)NC)cc1,CCCc1ccc(C(=O)NC)cc1,accepted,2,110 | 224,DEMO-102-A1 | DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,177.247,1.999,29.1,1,1,3,13,1,5.93,2.0,c1ccccc1,S001,C022
DPC0111,CCCc1ccc(S(N)(=O)=O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-04,>,5.92,primary measurement,111,CCCc1ccc(S(N)(=O)=O)cc1,CCCc1ccc(S(N)(=O)=O)cc1,accepted,2,111 | 225,DEMO-102-A1 | DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,199.275,1.287,60.16,1,2,3,13,1,5.89,1.0,c1ccccc1,S001,C002
DPC0112,CCCc1ccc(OC(F)(F)F)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-05,=,6.04,primary measurement,112,CCCc1ccc(OC(F)(F)F)cc1,CCCc1ccc(OC(F)(F)F)cc1,accepted,2,112 | 226,DEMO-102-A1 | DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,204.191,3.538,9.23,0,1,3,14,1,6.0,2.0,c1ccccc1,S001,C016
DPC0113,CCCc1ccc(N2CCOCC2)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-06,=,6.34,primary measurement,113,CCCc1ccc(N2CCOCC2)cc1,CCCc1ccc(N2CCOCC2)cc1,accepted,2,113 | 227,DEMO-102-A1 | DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,205.301,2.476,12.47,0,2,3,15,2,6.24,2.0,c1ccc(N2CCOCC2)cc1,S002,C024
DPC0114,CCCc1ccc(C2CC2)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-07,=,6.06,primary measurement,114,CCCc1ccc(C2CC2)cc1,CCCc1ccc(C2CC2)cc1,accepted,2,114 | 228,DEMO-102-A1 | DEMO-103-A1,Helixbridge Pharma | Kestrel BioDiscovery,160.26,3.517,0.0,0,0,3,12,2,5.904999999999999,2.0,c1ccc(C2CC2)cc1,S003,C002
DPC0115,CCCc1ccc(C2CCCCC2)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-08,<,6.12,primary measurement,115,CCCc1ccc(C2CCCCC2)cc1,CCCc1ccc(C2CCCCC2)cc1,accepted,1,115,DEMO-103-A1,Kestrel BioDiscovery,202.341,4.687,0.0,0,0,3,15,2,,,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0116,CCCc1ccc(O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-09,=,5.8,primary measurement,116,CCCc1ccc(O)cc1,CCCc1ccc(O)cc1,accepted,1,116,DEMO-103-A1,Kestrel BioDiscovery,136.194,2.345,20.23,1,1,2,10,1,5.8,1.0,c1ccccc1,S001,C002
DPC0117,CCCc1ccc(C(=O)O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-10,=,5.71,primary measurement,117,CCCc1ccc(C(=O)O)cc1,CCCc1ccc(C(=O)O)cc1,accepted,1,117,DEMO-103-A1,Kestrel BioDiscovery,164.204,2.337,37.3,1,1,3,12,1,5.71,1.0,c1ccccc1,S001,C002
DPC0118,COc1ccc(OC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-11,=,5.81,primary measurement,118,COc1ccc(OC)cc1,COc1ccc(OC)cc1,accepted,1,118,DEMO-103-A1,Kestrel BioDiscovery,138.166,1.704,18.46,0,2,2,10,1,5.81,1.0,c1ccccc1,S001,C004
DPC0119,CCOc1ccc(OC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-12,=,5.88,primary measurement,119,CCOc1ccc(OC)cc1,CCOc1ccc(OC)cc1,accepted,1,119,DEMO-103-A1,Kestrel BioDiscovery,152.193,2.094,18.46,0,2,3,11,1,5.88,1.0,c1ccccc1,S001,C001
DPC0120,COc1ccc(N)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-01,=,5.87,primary measurement,120,COc1ccc(N)cc1,COc1ccc(N)cc1,accepted,1,120,DEMO-103-A1,Kestrel BioDiscovery,123.155,1.277,35.25,1,2,1,9,1,5.87,1.0,c1ccccc1,S001,C004
DPC0121,CNc1ccc(OC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-02,=,6.08,primary measurement,121,CNc1ccc(OC)cc1,CNc1ccc(OC)cc1,accepted,1,121,DEMO-103-A1,Kestrel BioDiscovery,137.182,1.737,21.26,1,2,2,10,1,6.08,1.0,c1ccccc1,S001,C004
DPC0122,COc1ccc(N(C)C)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-03,=,6.27,primary measurement,122,COc1ccc(N(C)C)cc1,COc1ccc(N(C)C)cc1,accepted,1,122,DEMO-103-A1,Kestrel BioDiscovery,151.209,1.761,12.47,0,2,2,11,1,6.27,1.0,c1ccccc1,S001,C004
DPC0123,COc1ccc(C#N)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-04,=,6.38,primary measurement,123,COc1ccc(C#N)cc1,COc1ccc(C#N)cc1,accepted,1,123,DEMO-103-A1,Kestrel BioDiscovery,133.15,1.567,33.02,0,2,1,10,1,6.38,1.0,c1ccccc1,S001,C004
DPC0124,COc1ccc(C(F)(F)F)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-05,=,6.27,primary measurement,124,COc1ccc(C(F)(F)F)cc1,COc1ccc(C(F)(F)F)cc1,accepted,1,124,DEMO-103-A1,Kestrel BioDiscovery,176.137,2.714,9.23,0,1,1,12,1,6.27,1.0,c1ccccc1,S001,C004
DPC0125,COc1ccc(C(N)=O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-06,=,6.13,primary measurement,125,COc1ccc(C(N)=O)cc1,COc1ccc(C(N)=O)cc1,accepted,1,125,DEMO-103-A1,Kestrel BioDiscovery,151.165,0.794,52.32,1,2,2,11,1,6.13,1.0,c1ccccc1,S001,C003
DPC0126,CNC(=O)c1ccc(OC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-07,=,6.11,primary measurement,126,CNC(=O)c1ccc(OC)cc1,CNC(=O)c1ccc(OC)cc1,accepted,1,126,DEMO-103-A1,Kestrel BioDiscovery,165.192,1.055,38.33,1,2,2,12,1,6.11,1.0,c1ccccc1,S001,C010
DPC0127,COc1ccc(S(N)(=O)=O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-08,=,5.98,primary measurement,127,COc1ccc(S(N)(=O)=O)cc1,COc1ccc(S(N)(=O)=O)cc1,accepted,1,127,DEMO-103-A1,Kestrel BioDiscovery,187.22,0.343,69.39,1,3,2,12,1,5.98,1.0,c1ccccc1,S001,C014
DPC0128,COc1ccc(OC(F)(F)F)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-09,=,6.06,primary measurement,128,COc1ccc(OC(F)(F)F)cc1,COc1ccc(OC(F)(F)F)cc1,accepted,1,128,DEMO-103-A1,Kestrel BioDiscovery,192.136,2.594,18.46,0,2,2,13,1,6.06,1.0,c1ccccc1,S001,C004
DPC0129,COc1ccc(N2CCOCC2)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-10,=,6.39,primary measurement,129,COc1ccc(N2CCOCC2)cc1,COc1ccc(N2CCOCC2)cc1,accepted,1,129,DEMO-103-A1,Kestrel BioDiscovery,193.246,1.532,21.7,0,3,2,14,2,6.39,1.0,c1ccc(N2CCOCC2)cc1,S002,C011
DPC0130,COc1ccc(C2CC2)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-11,=,6.21,primary measurement,130,COc1ccc(C2CC2)cc1,COc1ccc(C2CC2)cc1,accepted,1,130,DEMO-103-A1,Kestrel BioDiscovery,148.205,2.573,9.23,0,1,2,11,2,6.21,1.0,c1ccc(C2CC2)cc1,S003,C004
DPC0131,COc1ccc(C2CCCCC2)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-12,=,6.39,primary measurement,131,COc1ccc(C2CCCCC2)cc1,COc1ccc(C2CCCCC2)cc1,accepted,1,131,DEMO-103-A1,Kestrel BioDiscovery,190.286,3.743,9.23,0,1,2,14,2,6.39,1.0,c1ccc(C2CCCCC2)cc1,S004,C012
DPC0132,COc1ccc(O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-01,=,6.16,primary measurement,132,COc1ccc(O)cc1,COc1ccc(O)cc1,accepted,1,132,DEMO-103-A1,Kestrel BioDiscovery,124.139,1.401,29.46,1,2,1,9,1,6.16,1.0,c1ccccc1,S001,C004
DPC0133,COc1ccc(C(=O)O)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-02,=,6.1,primary measurement,133,COc1ccc(C(=O)O)cc1,COc1ccc(C(=O)O)cc1,accepted,1,133,DEMO-103-A1,Kestrel BioDiscovery,152.149,1.393,46.53,1,2,2,11,1,6.1,1.0,c1ccccc1,S001,C004
DPC0134,CCOc1ccc(OCC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-03,=,6.13,primary measurement,134,CCOc1ccc(OCC)cc1,CCOc1ccc(OCC)cc1,accepted,1,134,DEMO-103-A1,Kestrel BioDiscovery,166.22,2.484,18.46,0,2,4,12,1,6.13,1.0,c1ccccc1,S001,C001
DPC0135,CCOc1ccc(N)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-04,=,5.92,primary measurement,135,CCOc1ccc(N)cc1,CCOc1ccc(N)cc1,accepted,1,135,DEMO-103-A1,Kestrel BioDiscovery,137.182,1.667,35.25,1,2,2,10,1,5.92,1.0,c1ccccc1,S001,C001
DPC0136,CCOc1ccc(NC)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-05,=,5.98,primary measurement,136,CCOc1ccc(NC)cc1,CCOc1ccc(NC)cc1,accepted,1,136,DEMO-103-A1,Kestrel BioDiscovery,151.209,2.127,21.26,1,2,3,11,1,5.98,1.0,c1ccccc1,S001,C001
DPC0137,CCOc1ccc(N(C)C)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-06,=,6.11,primary measurement,137,CCOc1ccc(N(C)C)cc1,CCOc1ccc(N(C)C)cc1,accepted,1,137,DEMO-103-A1,Kestrel BioDiscovery,165.236,2.151,12.47,0,2,3,12,1,6.11,1.0,c1ccccc1,S001,C001
DPC0138,CCOc1ccc(C#N)cc1,DEMO-103-A1,Kestrel BioDiscovery,2023-07-13,2023,phenyl,ASSAY-03-07,<,6.29,primary measurement,138,CCOc1ccc(C#N)cc1,CCOc1ccc(C#N)cc1,accepted,1,138,DEMO-103-A1,Kestrel BioDiscovery,147.177,1.957,33.02,0,2,2,11,1,,,c1ccccc1,S001,C001
