compound_a,compound_b,shared_core,fragment_a,fragment_b,assignees_a,assignees_b,pIC50_median_a,pIC50_median_b,activity_delta_b_minus_a
DPC0009,DPC0017,Fc1ccc([*:1])cc1,N[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.6,0.11999999999999922
DPC0009,DPC0018,Fc1ccc([*:1])cc1,N[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.48,5.95,0.46999999999999975
DPC0009,DPC0019,Fc1ccc([*:1])cc1,N[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.74,0.2599999999999998
DPC0009,DPC0020,Fc1ccc([*:1])cc1,N[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.48,5.86,0.3799999999999999
DPC0009,DPC0021,Fc1ccc([*:1])cc1,N[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.58,0.09999999999999964
DPC0009,DPC0022,Fc1ccc([*:1])cc1,N[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.51,0.02999999999999936
DPC0010,DPC0011,Fc1ccc([*:1])cc1,CN[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.75,0.09999999999999964
DPC0010,DPC0012,Fc1ccc([*:1])cc1,CN[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.77,0.11999999999999922
DPC0010,DPC0013,Fc1ccc([*:1])cc1,CN[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.6,-0.05000000000000071
DPC0010,DPC0014,Fc1ccc([*:1])cc1,CN[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.46,-0.1900000000000004
DPC0010,DPC0015,Fc1ccc([*:1])cc1,CN[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.5,-0.15000000000000036
DPC0010,DPC0016,Fc1ccc([*:1])cc1,CN[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.45,-0.20000000000000018
DPC0010,DPC0017,Fc1ccc([*:1])cc1,CN[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.6,-0.05000000000000071
DPC0010,DPC0018,Fc1ccc([*:1])cc1,CN[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.65,5.95,0.2999999999999998
DPC0010,DPC0019,Fc1ccc([*:1])cc1,CN[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.74,0.08999999999999986
DPC0010,DPC0020,Fc1ccc([*:1])cc1,CN[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.65,5.86,0.20999999999999996
DPC0010,DPC0021,Fc1ccc([*:1])cc1,CN[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.58,-0.07000000000000028
DPC0010,DPC0022,Fc1ccc([*:1])cc1,CN[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.65,5.51,-0.14000000000000057
DPC0011,DPC0012,Fc1ccc([*:1])cc1,CN(C)[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.77,0.019999999999999574
DPC0011,DPC0013,Fc1ccc([*:1])cc1,CN(C)[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.6,-0.15000000000000036
DPC0011,DPC0014,Fc1ccc([*:1])cc1,CN(C)[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.46,-0.29000000000000004
DPC0011,DPC0015,Fc1ccc([*:1])cc1,CN(C)[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.5,-0.25
DPC0011,DPC0016,Fc1ccc([*:1])cc1,CN(C)[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.45,-0.2999999999999998
DPC0011,DPC0017,Fc1ccc([*:1])cc1,CN(C)[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.6,-0.15000000000000036
DPC0011,DPC0018,Fc1ccc([*:1])cc1,CN(C)[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.75,5.95,0.20000000000000018
DPC0011,DPC0019,Fc1ccc([*:1])cc1,CN(C)[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.74,-0.009999999999999787
DPC0011,DPC0020,Fc1ccc([*:1])cc1,CN(C)[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.75,5.86,0.11000000000000032
DPC0011,DPC0021,Fc1ccc([*:1])cc1,CN(C)[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.58,-0.16999999999999993
DPC0011,DPC0022,Fc1ccc([*:1])cc1,CN(C)[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.75,5.51,-0.2400000000000002
DPC0012,DPC0013,Fc1ccc([*:1])cc1,N#C[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.6,-0.16999999999999993
DPC0012,DPC0014,Fc1ccc([*:1])cc1,N#C[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.46,-0.3099999999999996
DPC0012,DPC0015,Fc1ccc([*:1])cc1,N#C[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.5,-0.2699999999999996
DPC0012,DPC0016,Fc1ccc([*:1])cc1,N#C[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.45,-0.3199999999999994
DPC0012,DPC0017,Fc1ccc([*:1])cc1,N#C[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.6,-0.16999999999999993
DPC0012,DPC0018,Fc1ccc([*:1])cc1,N#C[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.77,5.95,0.1800000000000006
DPC0012,DPC0019,Fc1ccc([*:1])cc1,N#C[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.74,-0.02999999999999936
DPC0012,DPC0020,Fc1ccc([*:1])cc1,N#C[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.77,5.86,0.09000000000000075
DPC0012,DPC0021,Fc1ccc([*:1])cc1,N#C[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.58,-0.1899999999999995
DPC0012,DPC0022,Fc1ccc([*:1])cc1,N#C[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.77,5.51,-0.2599999999999998
DPC0013,DPC0014,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.46,-0.13999999999999968
DPC0013,DPC0015,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.5,-0.09999999999999964
DPC0013,DPC0016,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.45,-0.14999999999999947
DPC0013,DPC0017,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.6,0.0
DPC0013,DPC0018,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.6,5.95,0.35000000000000053
DPC0013,DPC0019,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.74,0.14000000000000057
DPC0013,DPC0020,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.6,5.86,0.2600000000000007
DPC0013,DPC0021,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.58,-0.019999999999999574
DPC0013,DPC0022,Fc1ccc([*:1])cc1,FC(F)(F)[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.51,-0.08999999999999986
DPC0014,DPC0015,Fc1ccc([*:1])cc1,NC(=O)[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.5,0.040000000000000036
DPC0014,DPC0016,Fc1ccc([*:1])cc1,NC(=O)[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.45,-0.009999999999999787
DPC0014,DPC0017,Fc1ccc([*:1])cc1,NC(=O)[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.6,0.13999999999999968
DPC0014,DPC0018,Fc1ccc([*:1])cc1,NC(=O)[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.46,5.95,0.4900000000000002
DPC0014,DPC0019,Fc1ccc([*:1])cc1,NC(=O)[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.74,0.28000000000000025
DPC0014,DPC0020,Fc1ccc([*:1])cc1,NC(=O)[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.46,5.86,0.40000000000000036
DPC0014,DPC0021,Fc1ccc([*:1])cc1,NC(=O)[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.58,0.1200000000000001
DPC0014,DPC0022,Fc1ccc([*:1])cc1,NC(=O)[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.51,0.04999999999999982
DPC0015,DPC0016,Fc1ccc([*:1])cc1,CNC(=O)[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.5,5.45,-0.04999999999999982
DPC0015,DPC0017,Fc1ccc([*:1])cc1,CNC(=O)[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.5,5.6,0.09999999999999964
DPC0015,DPC0018,Fc1ccc([*:1])cc1,CNC(=O)[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.5,5.95,0.4500000000000002
DPC0015,DPC0019,Fc1ccc([*:1])cc1,CNC(=O)[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.5,5.74,0.2400000000000002
DPC0015,DPC0020,Fc1ccc([*:1])cc1,CNC(=O)[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.5,5.86,0.3600000000000003
DPC0015,DPC0021,Fc1ccc([*:1])cc1,CNC(=O)[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.5,5.58,0.08000000000000007
DPC0015,DPC0022,Fc1ccc([*:1])cc1,CNC(=O)[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.5,5.51,0.009999999999999787
DPC0016,DPC0017,Fc1ccc([*:1])cc1,NS(=O)(=O)[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.45,5.6,0.14999999999999947
DPC0016,DPC0018,Fc1ccc([*:1])cc1,NS(=O)(=O)[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.45,5.95,0.5
DPC0016,DPC0019,Fc1ccc([*:1])cc1,NS(=O)(=O)[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.45,5.74,0.29000000000000004
DPC0016,DPC0020,Fc1ccc([*:1])cc1,NS(=O)(=O)[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.45,5.86,0.41000000000000014
DPC0016,DPC0021,Fc1ccc([*:1])cc1,NS(=O)(=O)[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.45,5.58,0.1299999999999999
DPC0016,DPC0022,Fc1ccc([*:1])cc1,NS(=O)(=O)[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.45,5.51,0.05999999999999961
DPC0017,DPC0018,Fc1ccc([*:1])cc1,FC(F)(F)O[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.6,5.95,0.35000000000000053
DPC0017,DPC0019,Fc1ccc([*:1])cc1,FC(F)(F)O[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.74,0.14000000000000057
DPC0017,DPC0020,Fc1ccc([*:1])cc1,FC(F)(F)O[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.6,5.86,0.2600000000000007
DPC0017,DPC0021,Fc1ccc([*:1])cc1,FC(F)(F)O[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.58,-0.019999999999999574
DPC0017,DPC0022,Fc1ccc([*:1])cc1,FC(F)(F)O[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.6,5.51,-0.08999999999999986
DPC0018,DPC0019,Fc1ccc([*:1])cc1,C1CN([*:1])CCO1,C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.95,5.74,-0.20999999999999996
DPC0018,DPC0020,Fc1ccc([*:1])cc1,C1CN([*:1])CCO1,C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.95,5.86,-0.08999999999999986
DPC0018,DPC0021,Fc1ccc([*:1])cc1,C1CN([*:1])CCO1,O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.95,5.58,-0.3700000000000001
DPC0018,DPC0022,Fc1ccc([*:1])cc1,C1CN([*:1])CCO1,O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.95,5.51,-0.4400000000000004
DPC0019,DPC0020,Fc1ccc([*:1])cc1,C1CC1[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.74,5.86,0.1200000000000001
DPC0019,DPC0021,Fc1ccc([*:1])cc1,C1CC1[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.74,5.58,-0.16000000000000014
DPC0019,DPC0022,Fc1ccc([*:1])cc1,C1CC1[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.74,5.51,-0.23000000000000043
DPC0020,DPC0021,Fc1ccc([*:1])cc1,C1CCC([*:1])CC1,O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.86,5.58,-0.28000000000000025
DPC0020,DPC0022,Fc1ccc([*:1])cc1,C1CCC([*:1])CC1,O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.86,5.51,-0.35000000000000053
DPC0021,DPC0022,Fc1ccc([*:1])cc1,O[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.58,5.51,-0.07000000000000028
DPC0002,DPC0023,Clc1ccc([*:1])cc1,F[*:1],Cl[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,,
DPC0002,DPC0024,Clc1ccc([*:1])cc1,F[*:1],Br[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.48,-0.40499999999999936
DPC0002,DPC0025,Clc1ccc([*:1])cc1,F[*:1],C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.46,-0.4249999999999998
DPC0002,DPC0026,Clc1ccc([*:1])cc1,F[*:1],CC[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.64,-0.2450000000000001
DPC0002,DPC0027,Clc1ccc([*:1])cc1,F[*:1],CCC[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.67,-0.21499999999999986
DPC0002,DPC0028,Clc1ccc([*:1])cc1,F[*:1],CO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.82,-0.0649999999999995
DPC0002,DPC0029,Clc1ccc([*:1])cc1,F[*:1],CCO[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.81,-0.07500000000000018
DPC0002,DPC0030,Clc1ccc([*:1])cc1,F[*:1],N[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.59,-0.29499999999999993
DPC0002,DPC0031,Clc1ccc([*:1])cc1,F[*:1],CN[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.54,-0.34499999999999975
DPC0002,DPC0032,Clc1ccc([*:1])cc1,F[*:1],CN(C)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.54,-0.34499999999999975
DPC0002,DPC0033,Clc1ccc([*:1])cc1,F[*:1],N#C[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.64,-0.2450000000000001
DPC0002,DPC0034,Clc1ccc([*:1])cc1,F[*:1],FC(F)(F)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.69,-0.1949999999999994
DPC0002,DPC0035,Clc1ccc([*:1])cc1,F[*:1],NC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.77,-0.11500000000000021
DPC0002,DPC0036,Clc1ccc([*:1])cc1,F[*:1],CNC(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.94,0.055000000000000604
DPC0002,DPC0037,Clc1ccc([*:1])cc1,F[*:1],NS(=O)(=O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,,
DPC0002,DPC0038,Clc1ccc([*:1])cc1,F[*:1],FC(F)(F)O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.83,-0.054999999999999716
DPC0002,DPC0039,Clc1ccc([*:1])cc1,F[*:1],C1CN([*:1])CCO1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.94,0.055000000000000604
DPC0002,DPC0040,Clc1ccc([*:1])cc1,F[*:1],C1CC1[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.56,-0.3250000000000002
DPC0002,DPC0041,Clc1ccc([*:1])cc1,F[*:1],C1CCC([*:1])CC1,Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.66,-0.22499999999999964
DPC0002,DPC0042,Clc1ccc([*:1])cc1,F[*:1],O[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.53,-0.35499999999999954
DPC0002,DPC0043,Clc1ccc([*:1])cc1,F[*:1],O=C(O)[*:1],Mosaic Medicines | Northstar Therapeutics,Northstar Therapeutics,5.885,5.7,-0.1849999999999996
DPC0023,DPC0024,Clc1ccc([*:1])cc1,Cl[*:1],Br[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.48,
DPC0023,DPC0025,Clc1ccc([*:1])cc1,Cl[*:1],C[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.46,
DPC0023,DPC0026,Clc1ccc([*:1])cc1,Cl[*:1],CC[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.64,
DPC0023,DPC0027,Clc1ccc([*:1])cc1,Cl[*:1],CCC[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.67,
DPC0023,DPC0028,Clc1ccc([*:1])cc1,Cl[*:1],CO[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.82,
DPC0023,DPC0029,Clc1ccc([*:1])cc1,Cl[*:1],CCO[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.81,
DPC0023,DPC0030,Clc1ccc([*:1])cc1,Cl[*:1],N[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.59,
DPC0023,DPC0031,Clc1ccc([*:1])cc1,Cl[*:1],CN[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.54,
DPC0023,DPC0032,Clc1ccc([*:1])cc1,Cl[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.54,
DPC0023,DPC0033,Clc1ccc([*:1])cc1,Cl[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.64,
DPC0023,DPC0034,Clc1ccc([*:1])cc1,Cl[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.69,
DPC0023,DPC0035,Clc1ccc([*:1])cc1,Cl[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.77,
DPC0023,DPC0036,Clc1ccc([*:1])cc1,Cl[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.94,
DPC0023,DPC0037,Clc1ccc([*:1])cc1,Cl[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,,,
DPC0023,DPC0038,Clc1ccc([*:1])cc1,Cl[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.83,
DPC0023,DPC0039,Clc1ccc([*:1])cc1,Cl[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,,5.94,
DPC0023,DPC0040,Clc1ccc([*:1])cc1,Cl[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.56,
DPC0023,DPC0041,Clc1ccc([*:1])cc1,Cl[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,,5.66,
DPC0023,DPC0042,Clc1ccc([*:1])cc1,Cl[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.53,
DPC0023,DPC0043,Clc1ccc([*:1])cc1,Cl[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,,5.7,
DPC0024,DPC0025,Clc1ccc([*:1])cc1,Br[*:1],C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.46,-0.020000000000000462
DPC0024,DPC0026,Clc1ccc([*:1])cc1,Br[*:1],CC[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.64,0.15999999999999925
DPC0024,DPC0027,Clc1ccc([*:1])cc1,Br[*:1],CCC[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.67,0.1899999999999995
DPC0024,DPC0028,Clc1ccc([*:1])cc1,Br[*:1],CO[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.82,0.33999999999999986
DPC0024,DPC0029,Clc1ccc([*:1])cc1,Br[*:1],CCO[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.81,0.3299999999999992
DPC0024,DPC0030,Clc1ccc([*:1])cc1,Br[*:1],N[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.59,0.10999999999999943
DPC0024,DPC0031,Clc1ccc([*:1])cc1,Br[*:1],CN[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.54,0.05999999999999961
DPC0024,DPC0032,Clc1ccc([*:1])cc1,Br[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.54,0.05999999999999961
DPC0024,DPC0033,Clc1ccc([*:1])cc1,Br[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.64,0.15999999999999925
DPC0024,DPC0034,Clc1ccc([*:1])cc1,Br[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.69,0.20999999999999996
DPC0024,DPC0035,Clc1ccc([*:1])cc1,Br[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.77,0.28999999999999915
DPC0024,DPC0036,Clc1ccc([*:1])cc1,Br[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.94,0.45999999999999996
DPC0024,DPC0037,Clc1ccc([*:1])cc1,Br[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,,
DPC0024,DPC0038,Clc1ccc([*:1])cc1,Br[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.83,0.34999999999999964
DPC0024,DPC0039,Clc1ccc([*:1])cc1,Br[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.48,5.94,0.45999999999999996
DPC0024,DPC0040,Clc1ccc([*:1])cc1,Br[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.56,0.07999999999999918
DPC0024,DPC0041,Clc1ccc([*:1])cc1,Br[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.48,5.66,0.17999999999999972
DPC0024,DPC0042,Clc1ccc([*:1])cc1,Br[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.53,0.04999999999999982
DPC0024,DPC0043,Clc1ccc([*:1])cc1,Br[*:1],O=C(O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.48,5.7,0.21999999999999975
DPC0025,DPC0026,Clc1ccc([*:1])cc1,C[*:1],CC[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.64,0.17999999999999972
DPC0025,DPC0027,Clc1ccc([*:1])cc1,C[*:1],CCC[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.67,0.20999999999999996
DPC0025,DPC0028,Clc1ccc([*:1])cc1,C[*:1],CO[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.82,0.3600000000000003
DPC0025,DPC0029,Clc1ccc([*:1])cc1,C[*:1],CCO[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.81,0.34999999999999964
DPC0025,DPC0030,Clc1ccc([*:1])cc1,C[*:1],N[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.59,0.1299999999999999
DPC0025,DPC0031,Clc1ccc([*:1])cc1,C[*:1],CN[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.54,0.08000000000000007
DPC0025,DPC0032,Clc1ccc([*:1])cc1,C[*:1],CN(C)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.54,0.08000000000000007
DPC0025,DPC0033,Clc1ccc([*:1])cc1,C[*:1],N#C[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.64,0.17999999999999972
DPC0025,DPC0034,Clc1ccc([*:1])cc1,C[*:1],FC(F)(F)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.69,0.23000000000000043
DPC0025,DPC0035,Clc1ccc([*:1])cc1,C[*:1],NC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.77,0.3099999999999996
DPC0025,DPC0036,Clc1ccc([*:1])cc1,C[*:1],CNC(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.94,0.4800000000000004
DPC0025,DPC0037,Clc1ccc([*:1])cc1,C[*:1],NS(=O)(=O)[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,,
DPC0025,DPC0038,Clc1ccc([*:1])cc1,C[*:1],FC(F)(F)O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.83,0.3700000000000001
DPC0025,DPC0039,Clc1ccc([*:1])cc1,C[*:1],C1CN([*:1])CCO1,Northstar Therapeutics,Northstar Therapeutics,5.46,5.94,0.4800000000000004
DPC0025,DPC0040,Clc1ccc([*:1])cc1,C[*:1],C1CC1[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.56,0.09999999999999964
DPC0025,DPC0041,Clc1ccc([*:1])cc1,C[*:1],C1CCC([*:1])CC1,Northstar Therapeutics,Northstar Therapeutics,5.46,5.66,0.20000000000000018
DPC0025,DPC0042,Clc1ccc([*:1])cc1,C[*:1],O[*:1],Northstar Therapeutics,Northstar Therapeutics,5.46,5.53,0.07000000000000028
